"","date","AAPL","MSFT","NVDA","C","GS","JPM","DIS","NFLX","AMZN"
"366",2016-02-05,23.5049991607666,50.1599998474121,6.60750007629395,39.8600006103516,156.470001220703,57.75,93.9000015258789,82.7900009155273,25.1065006256104
"367",2016-02-08,23.7525005340576,49.4099998474121,6.30499982833862,37.810001373291,149.25,56.5400009155273,92.120002746582,83.3199996948242,24.4050006866455
"368",2016-02-09,23.7474994659424,49.2799987792969,6.37249994277954,37.5099983215332,148.25,56.2000007629395,92.3199996948242,86.129997253418,24.1035003662109
"369",2016-02-10,23.5674991607666,49.7099990844727,6.35750007629395,37.4099998474121,147.229995727539,55.5200004577637,88.8499984741211,88.4499969482422,24.5240001678467
"370",2016-02-11,23.4249992370605,49.689998626709,6.32499980926514,34.9799995422363,140.690002441406,53.0699996948242,90.3099975585938,86.3499984741211,25.1909999847412
"371",2016-02-12,23.4974994659424,50.5,6.43249988555908,37.5400009155273,146.130004882812,57.4900016784668,91.1500015258789,87.4000015258789,25.3540000915527
"372",2016-02-16,24.1599998474121,51.0900001525879,6.74749994277954,38.8899993896484,149.020004272461,58.3499984741211,92.9100036621094,89.0500030517578,26.0550003051758
"373",2016-02-17,24.5300006866455,52.4199981689453,6.91499996185303,39.7799987792969,150.940002441406,58.7700004577637,95.5,94.7600021362305,26.7049999237061
"374",2016-02-18,24.0650005340576,52.189998626709,7.51000022888184,38.9199981689453,147.729995727539,57.810001373291,95.1699981689453,90.4899978637695,26.25
"375",2016-02-19,24.0100002288818,51.8199996948242,7.6100001335144,38.9900016784668,146.910003662109,57.8199996948242,95.0100021362305,89.2300033569336,26.7450008392334
"376",2016-02-22,24.2199993133545,52.6500015258789,7.88000011444092,39.5200004577637,148.789993286133,58.5699996948242,96.370002746582,91.9300003051758,27.9750003814697
"377",2016-02-23,23.6725006103516,51.1800003051758,7.90000009536743,38.2200012207031,144.910003662109,56.1199989318848,95.379997253418,89.120002746582,27.6469993591309
"378",2016-02-24,24.0249996185303,51.3600006103516,7.95499992370605,38.0900001525879,145.559997558594,56.1399993896484,95.4300003051758,91.6100006103516,27.7019996643066
"379",2016-02-25,24.1900005340576,52.0999984741211,7.97249984741211,38.6199989318848,148.25,57.0099983215332,95.6500015258789,94.5299987792969,27.7574996948242
"380",2016-02-26,24.2275009155273,51.2999992370605,7.92000007629395,39.5,150.25,57.5400009155273,95.3099975585938,94.7900009155273,27.7614994049072
"381",2016-02-29,24.1725006103516,50.8800010681152,7.84000015258789,38.8499984741211,149.529998779297,56.2999992370605,95.5199966430664,93.4100036621094,27.6259994506836
"382",2016-03-01,25.1324996948242,52.5800018310547,8.1875,41.2700004577637,154.649993896484,59.2000007629395,97.6500015258789,98.3000030517578,28.9519996643066
